doc_001	The Amazon rainforest is often called the lungs of the Earth because it produces vast amounts of oxygen and absorbs carbon dioxide from the atmosphere.
doc_002	Renewable energy sources like solar and wind power are becoming increasingly cost-effective alternatives to fossil fuels for electricity generation.
doc_003	The Python programming language is widely used for data science, machine learning, and web development due to its readability and extensive library ecosystem.
doc_004	Mercury is the smallest planet in our solar system and orbits closest to the Sun, with surface temperatures reaching extreme highs during the day.
doc_005	Professional basketball players must maintain rigorous training schedules that include strength conditioning, skill drills, and strategic film study.
doc_006	The invention of the printing press by Johannes Gutenberg in the 15th century revolutionized the distribution of knowledge across Europe.
doc_007	Mediterranean cuisine emphasizes fresh vegetables, olive oil, and lean proteins, and is associated with numerous health benefits and longevity.
doc_008	The Great Barrier Reef off the coast of Australia is the largest coral reef system in the world and supports an extraordinary diversity of marine life.
doc_009	Cloud computing platforms provide on-demand access to computing resources such as virtual machines, storage, and databases over the internet.
doc_010	Beethoven's Symphony No. 9 is one of the most famous classical compositions and features the Ode to Joy choral finale based on Schiller's poem.
